 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   10.0      0.2500     0.5000     0.3300     0.5550     0.3750     0.5000     0.3600     0.4800     0.3600     0.4700     0.3450     0.4650     0.3400     0.4650     0.3200     0.4550     0.3100     0.4550  
   20.0      0.2500     0.5000     0.3300     0.5550     0.3100     0.5000     0.3200     0.4800     0.3050     0.4700     0.3050     0.4650     0.2950     0.4650     0.2800     0.4550     0.2650     0.4550  
   30.0      0.2500     0.5000     0.3300     0.5550     0.3100     0.5000     0.3200     0.4800     0.3050     0.4700     0.2850     0.4650     0.2950     0.4650     0.2800     0.4550     0.2600     1.8700  
   40.0      0.2500     0.5000     0.3300     0.5550     0.3100     0.5000     0.3200     0.4800     0.3050     0.4700     0.3050     0.4650     0.2950     0.4650     0.2800     0.4550     0.2650     1.9300  
   50.0      0.2500     0.5000     0.3300     0.5550     0.3100     0.5000     0.3200     0.4800     0.3050     0.4700     0.2850     0.4650     0.2950     0.4650     0.2950     0.4550     0.2650     1.9900  
   60.0      0.2500     0.5000     0.3300     0.5550     0.3100     0.5000     0.3200     0.4800     0.3050     0.4700     0.3050     0.4650     0.2950     0.4650     0.2950     0.4550     0.2750     0.4550  
   70.0      0.2500     0.5000     0.3300     0.5550     0.3100     0.5000     0.3200     0.4800     0.3050     0.4700     0.3050     0.4650     0.2950     0.4650     0.2950     0.4550     0.2650     1.8450  
   80.0      0.2500     0.5000     0.3300     0.5550     0.3100     0.5000     0.3200     0.4800     0.2750     0.4700     0.3050     0.4650     0.2800     0.4650     0.2700     0.4550     0.2600     1.9650  
   90.0      0.2500     0.5000     0.3300     0.5550     0.3100     0.5000     0.3200     0.4800     0.2750     0.4700     0.2850     0.4650     0.2800     0.4650     0.2800     0.4550     0.2650     1.9550  
  100.0      0.2500     0.5000     0.3300     0.5550     0.3100     0.5000     0.3200     0.4800     0.3050     0.4700     0.2850     0.4650     0.2950     0.4650     0.2950     0.4550     0.2650     1.9900  
